### D = Discrepancy, O = Oncaller, S = Submitter, T = SMART, B = Big, A = TSA, F = Fatal
DSTA	10_PERCENTN	DISC_10_PERCENTN
DST	ALL_SEQS_CIRCULAR	-
DSTB	ALL_SEQS_SHORTER_THAN_20kb	-
O	AMPLIFIED_PRIMERS_NO_ENVIRONMENTAL_SAMPLE	TEST_AMPLIFIED_PRIMERS_NO_ENVIRONMENTAL_SAMPLE
DO	ATCC_CULTURE_CONFLICT	DUP_DISC_ATCC_CULTURE_CONFLICT
O	AUTODEF_USER_OBJECT	-
DST	BACTERIAL_JOINED_FEATURES_NO_EXCEPTION	-
DST	BACTERIAL_PARTIAL_NONEXTENDABLE_EXCEPTION	DISC_BACTERIAL_PARTIAL_NONEXTENDABLE_EXCEPTION
DSTF	BACTERIAL_PARTIAL_NONEXTENDABLE_PROBLEMS	DISC_BACTERIAL_PARTIAL_NONEXTENDABLE_PROBLEMS
###	Removed!	DOST	BACTERIA_MISSING_STRAIN	DISC_BACTERIA_MISSING_STRAIN
DOT	BACTERIA_SHOULD_NOT_HAVE_ISOLATE	DISC_BACTERIA_SHOULD_NOT_HAVE_ISOLATE
DOST	BACTERIA_SHOULD_NOT_HAVE_MRNA	DISC_BACTERIA_SHOULD_NOT_HAVE_MRNA
DOST	BAD_BACTERIAL_GENE_NAME	DISC_BAD_BACTERIAL_GENE_NAME
DT	BAD_BGPIPE_QUALS	DISC_BAD_BGPIPE_QUALS
DST	BAD_GENE_NAME	TEST_BAD_GENE_NAME
OST	BAD_GENE_STRAND	DISC_BAD_GENE_STRAND
DST	BAD_LOCUS_TAG_FORMAT	BAD_LOCUS_TAG_FORMAT
O	BAD_MRNA_QUAL	TEST_BAD_MRNA_QUAL
OT	BIOMATERIAL_TAXNAME_MISMATCH	DISC_BIOMATERIAL_TAXNAME_MISMATCH
O	BIOPROJECT_ID	ONCALLER_BIOPROJECT_ID
DO	CDS_HAS_CDD_XREF	TEST_CDS_HAS_CDD_XREF
DOT	CDS_HAS_NEW_EXCEPTION	DISC_CDS_HAS_NEW_EXCEPTION
D	CDS_HAS_NO_ADJACENT_TRNA	-
DST	CDS_TRNA_OVERLAP	CDS_TRNA_OVERLAP
DOT	CDS_WITHOUT_MRNA	DISC_CDS_WITHOUT_MRNA
DO	CHECK_AUTHORITY	ONCALLER_CHECK_AUTHORITY
DOT	CHECK_AUTH_CAPS	DISC_CHECK_AUTH_CAPS
DOST	CHECK_AUTH_NAME	DISC_CHECK_AUTH_NAME
O	CHECK_RNA_PRODUCTS_AND_COMMENTS	DISC_CHECK_RNA_PRODUCTS_AND_COMMENTS
DOTF	CITSUBAFFIL_CONFLICT	DISC_CITSUBAFFIL_CONFLICT
O	CITSUB_AFFIL_DUP_TEXT	DISC_CITSUB_AFFIL_DUP_TEXT
O	COMMENT_PRESENT	ONCALLER_COMMENT_PRESENT
O	CONSORTIUM	ONCALLER_CONSORTIUM
DSTF	CONTAINED_CDS	CONTAINED_CDS
O	COUNTRY_COLON	ONCALLER_COUNTRY_COLON
OSTB	COUNT_NUCLEOTIDES	DISC_COUNT_NUCLEOTIDES
D	COUNT_PROTEINS	COUNT_PROTEINS
D	COUNT_RRNAS	COUNT_RRNAS
D	COUNT_TRNAS	COUNT_TRNAS
O	COUNT_UNVERIFIED	TEST_COUNT_UNVERIFIED
O	CULTURE_TAXNAME_MISMATCH	DISC_CULTURE_TAXNAME_MISMATCH
O	DEFLINE_ON_SET	ONCALLER_DEFLINE_ON_SET
D	DEFLINE_PRESENT	TEST_DEFLINE_PRESENT
O	DIVISION_CODE_CONFLICTS	DIVISION_CODE_CONFLICTS
DOST	DUPLICATE_LOCUS_TAGS	DUPLICATE_LOCUS_TAGS
O	DUPLICATE_PRIMER_SET	ONCALLER_DUPLICATE_PRIMER_SET
O	DUP_DEFLINE	DISC_DUP_DEFLINE
DOST	DUP_GENES_OPPOSITE_STRANDS	TEST_DUP_GENES_OPPOSITE_STRANDS
DOT	DUP_SRC_QUAL	DISC_DUP_SRC_QUAL
DSTF	EC_NUMBER_ON_UNKNOWN_PROTEIN	EC_NUMBER_ON_UNKNOWN_PROTEIN
O	END_COLON_IN_COUNTRY	END_COLON_IN_COUNTRY
DSTF	EUKARYOTE_SHOULD_HAVE_MRNA	EUKARYOTE_SHOULD_HAVE_MRNA
OST	EXON_INTRON_CONFLICT	DISC_EXON_INTRON_CONFLICT
OT	EXON_ON_MRNA	TEST_EXON_ON_MRNA
DST	EXTRA_GENES	EXTRA_GENES
DO	EXTERNAL_REFERENCE	-
OST	FEATURE_COUNT	DISC_FEATURE_COUNT
DS	FEATURE_LIST	DISC_FEATURE_LIST
DST	FEATURE_LOCATION_CONFLICT	FEATURE_LOCATION_CONFLICT
O	FEATURE_MOLTYPE_MISMATCH	DISC_FEATURE_MOLTYPE_MISMATCH
DOST	FIND_BADLEN_TRNAS	FIND_BADLEN_TRNAS
DT	FIND_OVERLAPPED_GENES	FIND_OVERLAPPED_GENES
D	FIND_STRAND_TRNAS	FIND_STRAND_TRNAS
O	FLATFILE_FIND	DISC_FLATFILE_FIND_ONCALLER
DSTB	GAPS	DISC_GAPS
O	GENE_LOCUS_MISSING	-
O	GENE_MISC_IGS_OVERLAP	-
OST	GENE_PARTIAL_CONFLICT	DISC_GENE_PARTIAL_CONFLICT
DST	GENE_PRODUCT_CONFLICT	GENE_PRODUCT_CONFLICT
OT	GENOMIC_MRNA	-
###	Removed!	O	HAPLOTYPE_MISMATCH	DISC_HAPLOTYPE_MISMATCH
OT	HAS_PROJECT_ID	TEST_HAS_PROJECT_ID
DO	HUMAN_HOST	DISC_HUMAN_HOST
DST	INCONSISTENT_BIOSOURCE	INCONSISTENT_BIOSOURCE
DSTB	INCONSISTENT_DBLINK	DISC_INCONSISTENT_DBLINK
DST	INCONSISTENT_LOCUS_TAG_PREFIX	INCONSISTENT_LOCUS_TAG_PREFIX
DT	INCONSISTENT_MOLINFO_TECH	DISC_INCONSISTENT_MOLINFO_TECH
DOT	INCONSISTENT_MOLTYPES	DISC_INCONSISTENT_MOLTYPES
DSTF	INCONSISTENT_PROTEIN_ID	INCONSISTENT_PROTEIN_ID
DSTB	INCONSISTENT_STRUCTURED_COMMENTS	DISC_INCONSISTENT_STRUCTURED_COMMENTS
O	INFLUENZA_DATE_MISMATCH	DISC_INFLUENZA_DATE_MISMATCH
O	INFLUENZA_QUALS	-
O	INFLUENZA_SEROTYPE	-
O	INFLUENZA_SEROTYPE_FORMAT	-
O	INTERNAL_TRANSCRIBED_SPACER_RRNA	DISC_INTERNAL_TRANSCRIBED_SPACER_RRNA
DST	JOINED_FEATURES	JOINED_FEATURES
DOSTB	LONG_NO_ANNOTATION	DISC_LONG_NO_ANNOTATION
DST	LOW_QUALITY_REGION	TEST_LOW_QUALITY_REGION
DT	MAG_MISSING_ISOLATE -
DT	MAG_SHOULD_NOT_HAVE_STRAIN	-
DOTF	MAP_CHROMOSOME_CONFLICT	DISC_MAP_CHROMOSOME_CONFLICT
DOT	METAGENOME_SOURCE	DISC_METAGENOME_SOURCE
DOT	METAGENOMIC	DISC_METAGENOMIC
OF	MICROSATELLITE_REPEAT_TYPE	DISC_MICROSATELLITE_REPEAT_TYPE
DOST	MISC_FEATURE_WITH_PRODUCT_QUAL	-
D	MISMATCHED_COMMENTS	DISC_MISMATCHED_COMMENTS
DOF	MISSING_AFFIL	DISC_MISSING_AFFIL
O	MISSING_DEFLINES	DISC_MISSING_DEFLINES
DSTF	MISSING_GENES	MISSING_GENES
###DTB	MISSING_GENOMEASSEMBLY_COMMENTS	MISSING_GENOMEASSEMBLY_COMMENTS
DSTF	MISSING_LOCUS_TAGS	MISSING_LOCUS_TAGS
O	MISSING_PRIMER	TEST_MISSING_PRIMER
DA	MISSING_PROJECT	MISSING_PROJECT
DSTF	MISSING_PROTEIN_ID	MISSING_PROTEIN_ID
DA	MISSING_STRUCTURED_COMMENT	MISSING_STRUCTURED_COMMENT
O	MISSING_VIRAL_QUALS	DISC_MISSING_VIRAL_QUALS
O	MITO_RRNA	-
DO	MITOCHONDRION_REQUIRED	DISC_MITOCHONDRION_REQUIRED
