Misidentified Cell Line	Claimed Species	Contaminating Cell Line	Actual Species	
222	Human	PA1	Human	
2474/90	Human	HT-29	Human	
2563 (MAC-21)	Human	HeLa	Human	
2957/90	Human	HT-29	Human	
3051/80	Human	HT-29	Human	
41M	Human	OAW 28	Human	
A2008	Human	ME-180	Human	
ACC2	Human	HeLa	Human	
ACC3	Human	HeLa	Human	
ACCM	Human	HeLa	Human	
ACCNS	Human	Unknown	Mouse	
ACCS	Human	T-24	Human	
ADLC-5M2	Human	HeLa	Human	
Aedes aegypti, Suitor's clone	Mosquito	Unknown	Moth, Antheraea eucalypti	
Aedes vexans culture	Mosquito	Unknown	Moth, Antheraea eucalypti	
AG-F	Human	CCRF-CEM	Human	
AKI	Human	HeLa	Human	
ALVA-31	Human	PC-3	Human	
ALVA-41	Human	PC-3	Human	
ALVA-55	Human	PC-3	Human	
ALVA-101	Human	PC-3	Human	
AMDURII	Human	LLC-PK1	Pig, Sus scrofa	
AO	Human	HeLa	Human	
ARO	Human	HT-29	Human	
ARO81-1	Human	HT-29	Human	
AV3	Human	HeLa	Human	
AZ521	Human	HuTu 80	Human	
B2-17	Human	U-251 MG	Human	
BCC1/KMC	Human	HeLa	Human	
BE-13	Human	PEER	Human	
BG-1	Human	MCF-7	Human	
BHP 10-3	Human	TPC-1	Human	
BHP 14-9	Human	M14	Human	
BHP 17-10	Human	M14	Human	
BHP 2-7	Human	TPC-1	Human	
BHP 5-16	Human	M14	Human	
BHP 7-13	Human	TPC-1	Human	
BIC-1	Human	SW-480, SW-620	Human	
BLIN-1 (also subclone 1E8)	Human	NALM-6	Human	
BM-1604	Human	DU-145	Human	
BrCA 5	Human	HeLa	Human	
BSCC-93	Human	DJM-1	Human	
BT-B	Human	HeLa	Human	
C13	Human	ME-180	Human	
C16 (MRC-5 derivative)	Human	HeLa	Human	
C-433	Human	RD-ES	Human	
CAC2	Human	Unknown	Rat	
CaMa (clone 15)	Human	Unknown	Syrian hamster and mouse	
CaOV	Human	HeLa	Human	
Caov-2	Human	NIH:OVCAR-2	Human	
CaVe	Human	HeLa	Human	
CCL3	Human	Unknown	Mouse	
CH1, CH1cisR	Human	PA1	Human	
Chang liver	Human	HeLa	Human	
CHB	Human	Unknown	Rat	
CHP-100	Human	IMR-32	Human	
CHP-234	Human	Unknown	Human	
Clom 15	Human	Unknown	Rat	
Clone 1-5c-4	Human	HeLa	Human	
Clone-16	Human	Unknown	Syrian hamster	
