1.1.1.1	alcohol dehydrogenase
1.1.1.2	alcohol dehydrogenase (NADP(+))
1.1.1.3	homoserine dehydrogenase
1.1.1.4	(R,R)-butanediol dehydrogenase
1.1.1.6	glycerol dehydrogenase
1.1.1.7	propanediol-phosphate dehydrogenase
1.1.1.8	glycerol-3-phosphate dehydrogenase (NAD(+))
1.1.1.9	D-xylulose reductase
1.1.1.10	L-xylulose reductase
1.1.1.11	D-arabinitol 4-dehydrogenase
1.1.1.12	L-arabinitol 4-dehydrogenase
1.1.1.13	L-arabinitol 2-dehydrogenase
1.1.1.14	L-iditol 2-dehydrogenase
1.1.1.15	D-iditol 2-dehydrogenase
1.1.1.16	galactitol 2-dehydrogenase
1.1.1.17	mannitol-1-phosphate 5-dehydrogenase
1.1.1.18	inositol 2-dehydrogenase
1.1.1.19	glucuronate reductase
1.1.1.20	glucuronolactone reductase
1.1.1.21	aldose reductase
1.1.1.22	UDP-glucose 6-dehydrogenase
1.1.1.23	histidinol dehydrogenase
1.1.1.24	quinate/shikimate dehydrogenase (NAD(+))
1.1.1.25	shikimate dehydrogenase (NADP(+))
1.1.1.26	glyoxylate reductase
1.1.1.27	L-lactate dehydrogenase
1.1.1.28	D-lactate dehydrogenase
1.1.1.29	glycerate dehydrogenase
1.1.1.30	3-hydroxybutyrate dehydrogenase
1.1.1.31	3-hydroxyisobutyrate dehydrogenase
1.1.1.34	hydroxymethylglutaryl-CoA reductase (NADPH)
1.1.1.35	3-hydroxyacyl-CoA dehydrogenase
1.1.1.36	acetoacetyl-CoA reductase
1.1.1.37	malate dehydrogenase
1.1.1.38	malate dehydrogenase (oxaloacetate-decarboxylating)
1.1.1.39	malate dehydrogenase (decarboxylating)
1.1.1.40	malate dehydrogenase (oxaloacetate-decarboxylating) (NADP(+))
1.1.1.41	isocitrate dehydrogenase (NAD(+))
1.1.1.42	isocitrate dehydrogenase (NADP(+))
1.1.1.43	phosphogluconate 2-dehydrogenase
1.1.1.44	phosphogluconate dehydrogenase (NADP(+)-dependent, decarboxylating)
1.1.1.45	L-gulonate 3-dehydrogenase
1.1.1.46	L-arabinose 1-dehydrogenase
1.1.1.47	glucose 1-dehydrogenase [NAD(P)(+)]
1.1.1.48	D-galactose 1-dehydrogenase
1.1.1.49	glucose-6-phosphate dehydrogenase (NADP(+))
1.1.1.50	3alpha-hydroxysteroid 3-dehydrogenase (Si-specific)
1.1.1.51	3(or 17)beta-hydroxysteroid dehydrogenase
1.1.1.52	3alpha-hydroxycholanate dehydrogenase (NAD(+))
1.1.1.53	3alpha(or 20beta)-hydroxysteroid dehydrogenase
1.1.1.54	allyl-alcohol dehydrogenase
1.1.1.55	lactaldehyde reductase (NADPH)
1.1.1.56	ribitol 2-dehydrogenase
1.1.1.57	fructuronate reductase
1.1.1.58	tagaturonate reductase
1.1.1.59	3-hydroxypropionate dehydrogenase
1.1.1.60	2-hydroxy-3-oxopropionate reductase
1.1.1.61	4-hydroxybutyrate dehydrogenase
1.1.1.62	17beta-estradiol 17-dehydrogenase
1.1.1.64	testosterone 17beta-dehydrogenase (NADP(+))
1.1.1.65	pyridoxine 4-dehydrogenase
1.1.1.66	omega-hydroxydecanoate dehydrogenase
1.1.1.67	mannitol 2-dehydrogenase
1.1.1.69	gluconate 5-dehydrogenase
1.1.1.71	alcohol dehydrogenase [NAD(P)(+)]
1.1.1.72	glycerol dehydrogenase (NADP(+))
1.1.1.73	octanol dehydrogenase
1.1.1.75	(R)-aminopropanol dehydrogenase
1.1.1.76	(S,S)-butanediol dehydrogenase
1.1.1.77	lactaldehyde reductase
1.1.1.78	methylglyoxal reductase (NADH)
1.1.1.79	glyoxylate reductase (NADP(+))
1.1.1.80	isopropanol dehydrogenase (NADP(+))
1.1.1.81	hydroxypyruvate reductase
1.1.1.82	malate dehydrogenase (NADP(+))
1.1.1.83	D-malate dehydrogenase (decarboxylating)
1.1.1.84	dimethylmalate dehydrogenase
1.1.1.85	3-isopropylmalate dehydrogenase
1.1.1.86	ketol-acid reductoisomerase (NADP(+))
1.1.1.87	homoisocitrate dehydrogenase
1.1.1.88	hydroxymethylglutaryl-CoA reductase
1.1.1.90	aryl-alcohol dehydrogenase
1.1.1.91	aryl-alcohol dehydrogenase (NADP(+))
1.1.1.92	oxaloglycolate reductase (decarboxylating)
1.1.1.93	tartrate dehydrogenase
1.1.1.94	glycerol-3-phosphate dehydrogenase [NAD(P)(+)]
1.1.1.95	phosphoglycerate dehydrogenase
1.1.1.96	diiodophenylpyruvate reductase
